"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_001MA","B28011_001EA","B28011_002E","B28011_002M","B28011_002MA","B28011_002EA","B28011_003E","B28011_003EA","B28011_003M","B28011_003MA","B28011_004E","B28011_004EA","B28011_004M","B28011_004MA","B28011_005E","B28011_005M","B28011_005MA","B28011_005EA","B28011_006E","B28011_006M","B28011_006MA","B28011_006EA","B28011_007E","B28011_007EA","B28011_007M","B28011_007MA","B28011_008E","B28011_008EA","B28011_008M","B28011_008MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Annotation of Margin of Error!!Total!!With an Internet subscription","Annotation of Estimate!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Estimate!!Total!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Other service","Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Estimate!!Total!!With an Internet subscription!!Other service","Estimate!!Total!!Internet access without a subscription","Annotation of Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Annotation of Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Annotation of Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access","Annotation of Margin of Error!!Total!!No Internet access",
"1500000US060750209002","Block Group 2, Census Tract 209, San Francisco County, California","363","81","null","null","266","54","null","null","0","null","12","null","253","null","55","null","16","25","null","null","13","19","null","null","0","null","12","null","97","null","83","null",
"1500000US060750209003","Block Group 3, Census Tract 209, San Francisco County, California","359","70","null","null","347","72","null","null","0","null","12","null","329","null","71","null","0","12","null","null","9","15","null","null","0","null","12","null","12","null","18","null",
"1500000US060750209004","Block Group 4, Census Tract 209, San Francisco County, California","472","101","null","null","393","96","null","null","0","null","12","null","339","null","79","null","7","12","null","null","17","20","null","null","11","null","17","null","68","null","55","null",
"1500000US060750210001","Block Group 1, Census Tract 210, San Francisco County, California","401","143","null","null","401","143","null","null","0","null","12","null","355","null","134","null","0","12","null","null","13","22","null","null","0","null","12","null","0","null","12","null",
"1500000US060750210002","Block Group 2, Census Tract 210, San Francisco County, California","510","106","null","null","510","106","null","null","17","null","27","null","429","null","95","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null",
"1500000US060750210003","Block Group 3, Census Tract 210, San Francisco County, California","679","122","null","null","608","112","null","null","0","null","12","null","534","null","109","null","51","46","null","null","35","40","null","null","0","null","12","null","71","null","57","null",
"1500000US060750210004","Block Group 4, Census Tract 210, San Francisco County, California","551","128","null","null","449","121","null","null","0","null","12","null","411","null","118","null","0","12","null","null","38","45","null","null","16","null","26","null","86","null","105","null",
"1500000US060750211001","Block Group 1, Census Tract 211, San Francisco County, California","568","72","null","null","530","72","null","null","0","null","12","null","490","null","73","null","44","44","null","null","8","12","null","null","0","null","12","null","38","null","27","null",
"1500000US060750211002","Block Group 2, Census Tract 211, San Francisco County, California","451","74","null","null","410","74","null","null","6","null","10","null","351","null","56","null","15","18","null","null","0","12","null","null","0","null","12","null","41","null","48","null",
"1500000US060750211003","Block Group 3, Census Tract 211, San Francisco County, California","498","89","null","null","404","78","null","null","0","null","12","null","385","null","80","null","6","9","null","null","11","18","null","null","40","null","52","null","54","null","52","null",
"1500000US060750211004","Block Group 4, Census Tract 211, San Francisco County, California","413","82","null","null","401","85","null","null","0","null","12","null","347","null","74","null","14","21","null","null","31","38","null","null","0","null","12","null","12","null","16","null",
