"","Census.Blockgroup","Children","Elderly","NonWhite","Poverty","Education","English","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingViolations","Homeless","LivAlone","FloodHealthIndex","FloodHealthIndex_Quintiles"
"364",60750129011,0.060842055,0.092000087,0.228999,0.060512103,0.986000741,0.019000019,35.2969,0,0.0115914,7.4e-05,0.051837,3.6e-05,0.050000029,0.00681942,0.0003448,0.501000415,43.5394,2
"365",60750168013,0.115951,0.062,0.426,0.234762,0.971,0.011,88.1289,0,0,0.152928,0.624914,0.127539,0.081,0.00765184,0.0027125,0.48,43.5264,2
"366",60750452002,0.154662,0.152,0.548,0.258678,0.892,0.183,181.732,0,0.00108218,0.032093,0.067034,0.019311,0.107,0.0094851,0.0046154,0.291,43.5264,2
"367",60750262005,0.161226448,0.171724471,0.884855,0.274435557,0.76432279,0.195547519,227.387,0,0.00361259,0.079641,0.13869,0.04354,0.08933643,0.00193477,0.0005207,0.064520755,43.2997,2
"368",60750329023,0.156696,0.22,0.718,0.246548,0.804,0.175,156.841,0,0.0011399,0.063988,0.107185,0.024982,0.109,0.000821693,0.0018761,0.273,43.2797,2
"369",60750328012,0.185419,0.208,0.723,0.222082,0.847,0.17,233.594,0,0.00264664,0.064,0.1072,0.02498,0.11,0.00655977,0.0018761,0.161,43.2597,2
"370",60750328022,0.136478012,0.175000011,0.803,0.248050013,0.840000063,0.208000008,295.3,0,0.00192954,0.050034,0.090973,0.02705,0.115000005,0.0035868,0.0018761,0.274000016,43.2531,2
"371",60750476003,0.157536842,0.180999819,0.6,0.193519806,0.866999133,0.152999847,151.777,0,0.00333429,0.03693,0.093789,0.022764,0.086999913,0.00200401,0.0046154,0.253999746,43.2463,2
"372",60750479023,0.116653,0.172,0.54,0.290542,0.914,0.086,200.305,0,0.00303394,0.043,0.1269,0.027109,0.092,0.00324149,0.0046154,0.325,43.233,2
"373",60750131022,0.051263176,0.250000154,0.128998,0.112842198,0.988002521,0.005000078,130.414,0,0.000377473,0.051831,0.217658,0.025093,0.098000083,0.00474052,0.0003448,0.529001486,43.2264,2
"374",60750135002,0.07446,0.127,0.264,0.106867,0.969,0.041,156.583,0,0.00148631,0.120926,0.231131,0.054424,0.084,0.00410572,0.0003448,0.634,43.2197,2
